阿	至亲
阿爸	叔父
阿伯	老父
阿伯	伯父
阿爹	爸爸
阿兄	弟弟
阿哥	哥哥
安	啊	安?!他真是小冯?	(仔细打量)
安	哼	谁同意你捐的，安?你怎么不把书包也捐了?
苕果儿	土包子	你连赫赫有名的周秃子都不晓得真是~了！
苕果儿气	俗气	你总爱说我~，我自己实在不觉得哪些地方带~。
苕气	俗气	我哩，是吃红苕长大的，更感觉得她那全身的~逼人！
苕青	杂草
苕头苕脑	土里土气	你又不是乡巴佬，咋个~的。
苕子	杂草
少饱	很多	“还有饭没得？”“哇，你吃得完？”
少匹肋巴	低人一等	我又不少饱	很多“还有饭没得？”“~哇你吃得完？”小山上~的树子砍一根把没啥。
少少	略略	你心吃嘛别吃多了。
扫脸	丢脸	我又没做啥子丑事我不怕~。你当众教训他扫了他的脸。
晌午	中午
龙	少爷	少奶奶第二胎一定是个小~。
扫把	扫帚
扫扫儿	扫帚
臊子	小菜	吃面条榨菜炒鸡蛋作~给干妈还特地加了个煎蛋。
哨哨儿	哨子
消	饲料	猪儿生病不想吃~。
消水	泔水
肇	捣乱	他是那边肉铺的他是有意来~。
肇乱子	闹事	一辈子惯会~拍马屁和稀泥。
臊皮	丢脸	叫他搽起脂粉游街，臊他的老皮！
舍	嘛	还早，你再去睡嘛。罗支书找你，你总不能现在就去~。
舌条儿	舌头	把~伸出来
舌子	舌头
蚀	遗失	零碎收拾齐，行李莫搞~。
蚀财免灾	话语	老大爷，~。
涩	吝啬	这娃娃喜欢这个人，她啥子都要拿出来，她不喜欢的人，她就~了。
啬狗子	老实人	莫吃整笼心肺哇！大家都沾点咸味儿，老子最恨吃独食了。~！
啬家子	老实人	叫人，看见岂不疑心我是~？噢！只有你黄老爷才大方！
蛇抱蛋	杂草
蛇倒退	杂草
蛇疙瘩	杂草
蛇垮皮	豆类
蛇泡草	杂草
蛇太医	蛇
舍物	娼妓	哼！我猜他心里，何尝把我看作一位太太，一定疑心是你们叫来陪酒的啥子婊子~。
啥	如果	这些东西是公家的是他私人的~，他又不得这样浪费了。
生	粘	稀饭~锅了。
生	生出	没得那些事，你偏要给我~一坨。
生成	生就	真是~劳碌命！
生发	财物	并且我除了这十二元的薪水外，又没有别的~。
生害怕	生怕	朱老头~岔开话题，杀了偏风。
生拉活扯	强行	我要不扯谎，就会给他们~地拖去，那才没有意思。
生死	无论如何	你们看，这人也太怪了，~不收我的鸡，还~要拿她的一只下蛋母鸡还我！
孙孙儿	孙子	你有几个~？是孙儿还是孙女？
声光	声势	同志会决定要向各府州县去扩展~。
声口	语气	他的态度更加严肃起来，而他的~很带警告味道。
声气	声音	每当听到徐钢巴胡的~，金毛牛便浑身不舒服。
声气颠颠	小声	这通常是在他爸爸被骂得连~都没有了的时候。
身不空	怀孕	现在搞计划生育，~的少了。
身架子	身材
身胚	身材	这个浓眉宽脸中等~的壮年人名叫陈海民。
身身儿	身材	一片赞叹之声：好长的颈子啊！好高的~啊！
身身儿	躯干	他的身身儿短，脚杆长，穿衣裳好看。
身身儿	上衣	身身儿做好了，还没上袖子。
绅粮	地主	从前读书人和城里~们还替我们说几句公道话，也肯出头给我们撑一下腰杆。
牲口	马
深沉	严重	不认识字的人和文墨不很~、对于那篇古文还不大懂彻底的，就尖起耳朵听人家念。
深沉	深奥	我们不要说得那么~，总之，我叫你回去，并不是坏心肠，这一层你该明白了罢？
神	神奇	本饮食公司有的老师傅打出的锅魁“~得很”。有次老师傅“亮了一手”，把精心制作的锅魁往桌上一甩，全部脱层、散渣。
神	走神	哎呀，全煮烂了，你怎么看~了嘛！
神	瞎说	他们边走边~扯着。
神戳戳	莫名其妙	他一天到黑~的，是不是脑子有毛病？
神戳鬼戳	莫名其妙	而今天的赵季和，恰可以~搞出些怪事来的。
神乎乎	神秘	很快便找到了解救自己的办法，并且在心头冷笑开了。故意顿一顿，~地问：“他老文不同意办社是不是？”
神光	眼神	强盗说到这里，喉咙已经哽了，~离散的眼里也泪如雨下。
神木楞吞	茫然	问得李春山~。这不像上前天夜里那件衣服，不那么好赖啊。
神楞	愣怔	他~了一霎，才笑着向老汉辩解。
神婆子	女巫
神香	香火
乘	承担	我们要考究什么山有这样的葛藤，把人都“~”得起，手攀葛藤，从这匹山可以飞到那匹山上去。
乘得住火	坚持	那么大的阵仗压起来，哪个还~。
乘火	担当	你老弟说的啥子话？现在还没有闹到叫你出来~的时候！
乘一肩头	帮忙	你没气力了喊一声，我来~。
晨早	清早	~动身才来得及。
审	试探	这车子滚滚转动不灵活，你来~一下，看是啥子毛病。
省	省城	这杂酒罐安逸得很，就是成都~西安~，哪里找得到哦。
省俭	俭省	目前已是热天，不必添补衣服，~点用，岂只月把天气，就两个月也够了。
省口待客	好客	这里民风朴实，说请客就真要请的，“~”是一句家喻户晓的谚语。
省油灯	庸才	不过那个小马儿也不是个~！
笋壳脸	厚颜	真正是无廉耻，~，不知羞惭就是你。
笋子炒肉	体罚	除了这“~”的刑罚之外，我们还要受各种各样的刑罚	
婶娘	婶母
圣谕书	书	屋主人时常惯用小竹片撑开眼险，坐在下面看~。
肾气草	灌木
司刀	法器	而在远处，突地响起了一阵巫师的清脆的~声。
丝	根	几~萝卜丝。
丝瓜布	果皮
丝茅草	白茅
丝儿	丝线	红苕
丝儿	一点点	只差一~。
丝丝	丝线	蚕子吐丝了。
丝丝儿	一点点	被大人们起进城来的孩儿们，对他表示羞羞答答的问候，可是没有一~失去父亲的恐惧和悲哀。
丝娃儿	小孩儿
丝子	丝线	蚕子吐~了。
私绞	交道	莫跟这种人打~。
私窝子	赌场
私娃子	私生子
私曰	私了	那件事不打官司了，他们准备~。
司	托起	做妻子的连忙抱起孩儿来~尿。
斯文	文弱	你太~了，那点东西拿不了。
斯文呆呆	斯文	对方是赫赫有名的麻大胆，你老人家~的，恐怕不是他的下饭菜吧？
㽄	裂开	钵钵~了，装水要不得了。
十八扯	说唱艺术	他唱的是~，笑人得很。
十八扯	瞎扯	啊！我说到哪里去啦！嘿嘿真是有点~罗！
十二相	食品	四城门卖的~，五个钱吃两大碗，乡坝里能够吗？
石步子	游戏
石骨子	土壤	我们这里土薄水少的~地，能栽白杨、垂柳、青松吗？
石米儿	碎石
石岩姜	根茎
石子儿	碎石
失格	得体	张占魁自己知道说的话失了格，只好赧赧然地不好再说。
失惊打张	慌张	菊花有点吃惊样子，可是没有开腔。何嫂却忘了规矩，白铜盆没放下，便~地喊。
失窝	开垦	包谷土~的多，要补窝才行。
失神落智	失魂落魄	(他)眼睛里只瞧着有身分的人，见了姓苏的，就那样~。
失枕	落枕	他也摇了摇头。可是又摇得很不自然。倒像是睡失了枕，在舒松颈项的肌肉。
识向	知趣	大路不平旁人铲，~的各自收刀捡卦。
时不时	时常	竹桷大部分已腐了，~有虫屎面面掉下来。
实在	扎实	直到看清楚，记~，才小心翼翼地把照片放回原处。
食子	饲料	你要是不把~洒在席子上，它就跳来跳去不爱吃了。
湿古淋当	湿淋淋	衣裳~的几天也晒不干。
湿叽叽	湿淋淋	我汗衫都给汗浸透啦，穿在身上~的不舒服。
湿扎扎	湿淋淋	冬天衣裳不容易干，晾了两天还是~的。
死不秋秋	死气沉沉	还有那~的笋子虫和一嘣就好远的油炸蜢特别让人想。
死眉钝眼	呆滞	你那么~的，像个瓜娃子。
死木呆呆	死板	那事情那么复杂，他~的样儿，昨个做得好哟。
死皮	死皮赖脸	他太~了，真把他莫得办法。
死皮赖活	死皮赖脸	只气得小赵闭了气，无可奈何地骂他一声“~”收场。	
死乞白赖	纠缠	县太爷亲自上门拜会黄大老爷，~地要拜认做门生。
死秋秋	死气沉沉	他这个人~的，坐在那里，一天半天都不得说句话。
死杀	呆板	你哪个那么~，脑壳死不开窍。
死死儿	种子	葫豆~拿来喂猪。
使口	使唤	~不如自走。
使牛	耕田	散布在附近各处拉犁、挖田、~、淘沟、积肥的农业社的社员们，都一齐唱开了。
使绊子	阻止	这，又是他吧？老是~，可上边偏有人相信他。
使气	赌气	我还坐在那地坝边~，嫂嫂满脸泪痕又来劝我。
使嘴	使唤	川西农村有句老话，养儿图~，养女图伸腿。
屎棋	臭棋	他的棋下得不好，经常下些~。
屎蚊子	昆虫
四瓣草	杂草
四方四正	方方正正	岩壁似刀切那么整齐，~。
四合头	房子	家里修起了~太瓦房。
四浑	不可理喻	外州县的小粮户，一多半就是不知天高不知地厚，有钱就花的~头子。
四脚四手	四肢	轻轻一个扑趴，况且轿子也只有那么高一点，怎就~都受了伤？
四门不出	出门	以往他休假回家、妻子~不出，白天坡，晚上家里，屋里屋外，忙这忙那。
四楞四现	清晰	他的牙齿咬紧起来了！咬得牙床骨在腮帮上~。
四仰八叉	跌倒
四叶菜	杂草
适	匀称	这姑娘长得很~。
试手	尝试	昨天，我已~问过他，他说，只要我们打发他去，他准定保得将军去，保得将军回的。
势要	势力	平日他们~大，惹不起他们。
势子	势头	那么大的~，是有点儿吓人。
柿子园	妓院
是不是	寻常	~的人休想弄到手。它是“文化革命”中唯一漏网的封资修分子，是真正的艺术品。
是不是	所有	~的话你都要听嗦？不能~的人都交朋友。
是啥	所有	收了工去赶场，场早就散了，~都没得了。
逡	滑行	那是个斜坡坡，东西放上去要~的。
逡	溜	铁柱趁天黑的时候，悄悄地~到观音阁外边的小树林里去。
梭边边	偷懒	看到要做清洁了，你就~了。
梭边边	逃避	我们斗争地主的时候，你们~。
梭空空	偷懒	看到要做清洁了，你就~了。
梭空空	逃避	我们斗争地主的时候，你们~。
梭老二	蛇
唆唆	吗啡	招场伙卖~生意兴隆。
唆唆	妓女
梭夜子	滑板	你就在这里看花花，吃果果，跟那些姐姐妹妹梭~。
梭梭头	发型
梭夜子	妓女
蓑草	龙须草
说白话	吹牛	“说得那们惨！”“骂哪个杂种~！”
说不得	无可奈何	“那样重的担儿，哥哥怎么担起来了？”“为兄~了呀。”
说不拢	说不来	会场上争得互不相下，私下里也~。
说不起话	一言九鼎	罗家公馆诚然也有人来参与，却多半~，而在会议场中能够指挥舆论的，差不多只有张家公馆的人。
说不脱	推脱	这个罪名到底谁来担？看来两方面都~。
说春	说话	我来妆个春官~，站在桌子上来说，正月里，是新年，提起篼篼去拜年。
说得拢	说得来	自从她们两人认识以后，似乎很~。
说得起话	一言九鼎	他要不严办，以后的事他还能~吗？
说吊话	发牢骚	不要尽~，大家出主意把工作搞好
说个幺二三	说清楚	铁鸭公三个人，心里也意识到自己不对，尤其害怕被柳永凤叫到乡人委去~。
说聊斋	交代	“回去交不到票，老子懒得~。”“胆小鬼！账怎么分？”
说聊斋	闲聊	你倒不是不懂，故意同我~的啦？
说七说八	说长道短	别个工作搞得再好。他也要~的。
说起	说起	~，才止一百呀，起码一千。
说声	如果	也不仔细看看，眼前是啥火色？~明天后天社里一开大会，斗争张福寿、蚱蜢老汉，弄你这个青头鸭儿去一锅煮，那有啥子安逸？又说说一声。
说圣谕	说教	辛亥革命后，晚上~的，城隍庙讲评书的，都还在说呢。
说天话	胡说	你在~，这里会有什么好东西？
索索	绳子
睃	看见	就是过路人行经巷口时，谁也要~一两眼的。
缩筋	收缩	有些主料要考虑到经过加热以后会走油，~，因此在第二次加工时，就要砍大些，成菜后显得大方。
缩头乌龟	胆小鬼	有种的先开第一枪，不要当~！
唆	指使	他不喜欢别人到他家去，每次有人去他家，他总要~狗咬人。
嗦	呢	你想送点啥子给你的对象~？
松包	胆小鬼	他不相信林方成会是个~。竟闯不出来。
松包脸	脸	玉三哈哈说完了。李克才又把眼光收回来。落在这位从前会耍水银骰子的赌哥的~上。
松活	轻身	行李都给骡子驮起了，走起来很~。
松活	宽裕	打从减租退押开始，他总算过了十打十年~日子！
松活	懈怠	守城的旗兵~得很，只问了声轿子里拾的什么人，护照根本就没看。
松活	放开	他骑在它背上，死死抠住鳃壳沉，下水几丈深都没~它。
松脚子	解围	他们给你塞了些啥包袱？你这样猴急狗跳地出来替他们~！
松垮垮	松散	柴没捆紧，~的，谨防散了。
松垮垮	懒散	你们班~的该，整顿一下纪律了。
松垮松垮	松散	这捆柴捆得~的，要不得。
松垮松垮	懒散	我们厂纪律~的。
松毛儿	树叶
松捞捞	松松垮垮	你捆紧点儿，不要~的，一提就散。
松泡泡	松弛	老岳才五十出头身子，竟~地胖起来
倯	馋	盯着别人吃饭~得很。
倯	寒酸	那么有钱还要捡废纸卖，做得那么~。
倯嘴	馋	这娃儿~得很。
怂	怂恿	一二九运动后，全国都喊打日本，日本人送上门来愿挨打，南京~起四川打，我们还不敢打么？
耸	推	车上的东西没装好，后头重了，朝前头~点。
收刀捡卦	收敛	他李克看见行头不够，班子不硬，自不其然会知难而退，早早~。
收风	停止	你还闹，还不~，要挨打的。|
收荒货	收购	她叫收荒的朱老娘子，以~为业，每逢场期，便在场口摆开她的摊子。
收荒匠	工人
收捡	收拾	他遂走到前院，陕西客人正在起身，幺师正在~被盖。
收浆	发芽	鸦片桃子都要~了，再不收就要不得了。
收浆	干涸	水槽的洋灰还没~，咋个装得水哟？
收脚迹	鬼魂	噫，有鬼！这间屋是他住过，的是不是他回来~？
收拾	打扮	要不是看见她打扮，硬不信一个女人家的头面，会那么异模异样地~。
收收拾拾	酒瘾	杂种这一向老在老贺家里东旋西旋，那个鬼女子又~，经常到赵镇赶场。
收手	停止	(婆娘)只有骂我钱迷心窍。我贿咒发誓，只干这一回，找到钱就~。
收水	开垦	他心急火燎打电话给区委办公室文如仁，请他统一发个通知，转告各乡各社，注意~。
收头	收尾	~结大瓜。
搜山狗	猎狗
手板	手掌
手插子	匕首
手壶	茶壶
手袱子	手绢
手杆	上肢	为革命失去了十个指头，但我们还有着两只~。
手拐	胳膊肘儿
手巾	手绢
手颈	手腕
手脚	手脚	罗五爷、张占魁把我勾引到贿场上，耍了我的~。
手脚干净	老实	常与旅客接触的招待工必须要~。
手面	资产	三儿子没有出去做官，但是也算本县出色的人物，年轻漂亮，风度翩翩，~很宽，花钱如水。
手手儿	把手	门上~都没得，开关都不方便。
手摊子	小吃	一道去的小朋友多是豪爽慷慨的，谁如果有够买半碗凉粉的钱，一定买个“~”，共同分享。
手弯	胳膊肘儿	右~里挎着个类似箩筐的的篓子。
守嘴	守候	不要~，我们有咄！
首事	负责人	街上一些公益事，街上顶穷的住户也得在~拿来的捐簿上，写上制钱十文二十文。	
寿彩	礼物
寿对	礼物
寿木	棺材
寿元	寿命	人见稀奇事，必定~长。
受合	好受	由于这个充满了诡诈，自信，猜疑和邪恶的快意的凝视，推事太太忽然感觉得很不自在，很不好~了。
受看	顺眼	这个形我觉得有些“流气改为用手撑住折可以取得同样的喜剧效形像也健康~一些。
瘦精精	瘦骨伶仃	一个~的小姑娘坐在凉水摊子的后面，还伸着脖子认真地叫卖着。
瘦卡卡	瘦弱	这个娃儿~的，身体不好。
舒气	漂亮	吙哟，今天的苦三爷才打扮得~喃！
舒气	大方	与一般乡下新娘子，只要见了生人，便死死把头埋着，一万个不开口的，比并起来，自然她就~多了。
舒气	痛快	这个暑假就看了三部了，还不~呀！
舒气	气派	钱家哩，却是个世家，而钱亲翁又在官场多年，自然是~到底的了。
舒泰	舒适	他已把脸刮得青楞楞的，这下~啦！就跟婆娘亲嘴都不得挨骂罗。
梳光光头	做好事	“是想在大家面前梳个光光头吧？”“人在世间上，哪个不希图有个好名声啊？”
梳子背	切菜
叔公	叔祖
叔婆	叔祖母
熟脚	内应	贼无~，偷之不着。
熟人熟事	熟悉	转念一想，彼此都是~的，干这些伤天害理的事，哥们要截背脊骨的。
熟油	菜油
熟油海椒	辣椒酱
数数儿	钱	何人不爱~呢！
树地瓜	无花果
素活路	烹饪	经理叫他先切几天小菜，做点墩子上的~试试看行不行。
素面	面条
素手	空手	你~归家，有何面目见江东？
縢包	酒杯
縢袋	酒杯
刷	除开	去年加工资，车队都报上来了，你为啥把老子~了！
刷把	刷子
刷把头	马尾辫	有梳了发辨的，有扎着~的，也有才留着马桶盖的。
刷把星	扫帚星
刷白	煞白
刷又	煞白	颜雍耆的脸色一下就~了。
刷粉粉亮	蒙蒙亮	第二天清早，天刚~，妈妈跑到学堂来通知我，说大妹子不见人。
刷夹棒	申斥	上前天你叫邵春花去找文如仁要粮，结果被人家刷了一夹棒。
刷糨子	奉承	以为如此这般不花本钱地刷刷糨子，灌灌米汤，便可有求必应。
刷石灰	奉承	看热闹的人也在仗义执言，把两方面都刷了一些石灰，使两方面都有了面子，能够下台。
刷刷	刷子
刷条子	竹片
刷子	厘米	可见那时候当师傅的没有几~真功夫，要想滥竽充数，强为人师是不行的。
刷子抢	猎枪
耍	玩耍	邓么姐的儿子不肯同我们一块去~。
耍	表演	~个把戏大家看。
耍	休假	庄稼人不像机关单位，从来不兴~礼拜。
耍把戏	魔术	可是究竟还没有~便当，只要哈一口气。
耍把戏	耍花招	你再鬼鬼祟祟地~，你看我哪天宰了你！
要板眼儿	耍花招	这回给农业社办事，可不许耍你那老板眼儿。
要秤	耍花招	到王鸭子那里去提个肥鸭子，跟他说是我老龙要的，莫~！
耍公爷	庸才
耍鬼过脚	耍花招	“这就蹊跷了！”柳永凤沉吟着问自己，他们为啥~？
耍横	耍花招	只会在家里~的徐招财，看见那娃娃紧握的双拳，圆睁的虎眼，吓得直往他妈身后钻。
耍娘家	玩	凡是还没有运气当上“老人婆”的媳妇们都趁这机会告了假拖儿带女跑回母家~。
耍朋友	找对象	丁红是谁孔强要的朋友咄!|老二原来对我还好耍了朋友就变了巴不得我早点死。
耍钱	赌博	发了工资就去～你还吃不吃饭?
耍人户	串门
耍手戏	奉承	个家伙～骗人嘴头上还敢这么不干净!
耍耍	若无其事	赶～场|抽～烟|打～牌|你注意点儿这不是啥子～活路要认真做才做得好。
耍耍搭搭	从容	时间还早，～走也搞得赢。
厦子	后厦
甩	丢	原来她手上拿着一朵蘑菇活像一支毛笔。柳永凤一看忙说	“还不快点～了!”
甩尖子皮鞋	皮鞋
甩脚甩手	轻如鸿毛	这样的泥路在惯走山路的人看来实在算不了一回事。甚至还可背上一二百斤的东西～地走。
甩空手	空手	挠着武器的少摔着空手的多。
甩牌子	拒绝	他这个人动不动就～。他找我车过压面机零件我当场就车出来了不仅没有甩他牌子而且手一挥就结了帐。
甩飘飘	若无其事	老子们这些狗屎老百姓的命横竖不值二百钱早就活得不耐烦啦!今天专门拿～。
甩起	卖力	他～的干了一天硬是把那么多活路儿都做完了。有的地方说甩起实。
甩起	非常	他的身体～的结实。
甩死耗子	失约	工匠们得到家里打来的信几天之内走了个精光。他控制不住自己了骂“农二”没有一个是好货动不动就甩他死耗子。
甩手	轿夫	明天一早给我喊一乘轿子多喊两个～。
甩手甩脚	悠哉游哉	这样的泥路在惯走山路的人看来实在算不了一回事。甚至还可背上一二百斤的东西～地走。
甩手掌拒	庸人	而中间那位则是愁眉苦脸；灰心丧气竟然坐在车头里当起“～”连活都懒得干了。
甩甩话	话语	佟祥德故意说着～道	“住长住久我自家也掐指算不着。”
甩袖头子	拒绝	二流子见老汉出言不逊心头也有些着忙要酸不辣地说	“甩那么多的袖头子做啥啊!”
酸	挑剔	我看就是你堂姐来也没得这样～!
酸叽叽(酸叽酸叽、酸纠纠、酸纠酸纠)	酸涩	稀饭馊了吃起~的。
酸叽叽(酸叽酸叽、酸纠纠、酸纠酸纠)	酸痛	我昨天赶了一天的路今天周身都还是~的。
酸咪咪	酸涩	冰镇酸梅汤～儿的又凉又解渴。
酸咪酸咪	酸涩	这汤咋个～的?
酸酸草	杂草
涮坛子	开玩笑
蒜苗儿	蒜苗
算命子	算命先生
算老婆子帐	算账	我们就来研究研究搬起指头算个老婆子账看看国家给我们的征购任务究竟重不重?
双起	结合	两根索子～还抬不起一百斤哪?
双双儿	孪生子	他两个那么像是一对～吧?
双月子	幼畜	买了两只～猪儿。
随	熟练	这个有点“神”的动作他显得很“～”因此在别人眼里就愈加莫测高深。
随	容易	他算老几我～捡。|这点活路我～做。
随常	经常	“怎么许多政治理论书你都读得懂呢?”“那些字句～都在看啦!”。
随手	抹布
谁个	谁	一个社员醒了问道“～?”“我。”
水	浮躁	那一回不是说得凶闹得唱过几天就～了?这两年最“～”的小伙子好些也一本正经了。
水八角	海棠
水打棒	尸体
水饭	棺材	就是泼碗～也要管一个七七啦。
水过三丘	结束	有意见就在这儿当面讲莫～了又躲在背角里像蜂子朝王嗡嗡嗡
水功	个人主义	他还不知道世界上有所谓“拖功”“～”更不晓得模仿我们某些当家者的口头禅“好很好我们研究研究。”
水牯棒	公牛
水经	航路	一听见蜀通的汽哨它们都掉了舵让出～的中心。
水荆芥	杂草
水客	庸人
水垮垮	湿漉漉	这东西～的，装在衣兜里要不得。
水垮垮	敷衍	他做事～的，要把他盯紧点儿。|他经常～的，他的话怕靠不住。
水垮垮	舒缓	我们班～，的别人都有意见了。
水没子	水波
水案板	杂草
水礼	礼物	对于酒席钱表叔又绝对不收说是花不了好多钱就作为他们两人合送的～。
水流水滴	湿漉漉	现在雨虽然停了好久他一身仍～。也说水流滴答。
水盆鸡	鸡
水泡眼	眼睛	一双老年人应有的～此刻睁得圆彪彪的。
水色	肤色	长得跟花骨朵儿一样只是~不如你罢了。
水食店	馆子
水湿	湿漉漉	～的衣裳穿不得
水水	水	桌子上有~。瓶瓶头的～没倒干净。
水水	汁	中药～|这甘蔗都干了没得啥子～了。
水性	性格	我们西路人就是～硬。
水漩儿	庸人	所以我们骂过“~公”。、
水油	脂肪
水芋	芋头
水涨	风	徐锅巴胡忙朝李春山跨进两步压低嗓门儿吼叫：“水都涨倒嘴边边上啦!拿来咋个整啊!”李春山不由得打个冷噤。
水皂角	杂草
絮	吝啬	她才～哟过年都舍不得吃顿干饭。
碎人	小孩儿
碎娃娃	小孩儿
碎嘴	唠叨	伍福川笑道	“看你像个~婆婆一样!”
睡不落觉	梦游	由于太想很快办农业社整整一晚～。
纯全	完全	你的这个材料这个纲领呢?～是整农民晓得么?
绳绳儿	绳子
顺气话	话语	你少讲点～吧。
踏	物量单位	离口袋不远的地方有一~的谷子竟然变成了红色。
塌鼻头儿	塌鼻	一个～的八岁孩儿带跳带跑地从外面进来几乎撞在她的身上。
塔塔	地方	那胆大的娃娃还敢跑去问力伕：“是到哪个～唱?”
踏屑	贬低	不是有意～孙老婆婆就是给她五元钱她也很难认得清楚。
抬	掂量	你~一～看大概有好重?
抬包袱	接受	～的时候把上级都忘了呀!
胎胎儿	容貌	你又年轻～也下得去。|拿模样来说倒好一个～。
台	样	我也仔细想过不能搞那～事。
台面	台面	这些都是端不上～的。
台盘	台面	这些都是端不上～的。
台台	月台	场口空坝坝搭个高～。
台子	事情	家里日常绞缠、零碎开支蹬打不开只好搞卖转转猪这个背时～！
抬盒	用具	载客的轿子和装礼物的～如涌来的潮水轧断了大街。
抬圈	猪圈
抬硬扛子	承担	公开不行，我们就阴倒选，反正要找一个抬得起硬扛子的人出来。
抬笼	抢	老摇和看守的土匪商量要迁个地方说是怕有军队来～。
抬快	说话	还没上飞机你龟儿就~。
抬起	合伙	他几爷子～整我一个!
抬人	崎岖	这面穿衣镜～的。
抬色	出众	果然嫩腼得多！这打扮真~！
拾田	耕田	还未开成立大会因而还没正式建立起来的农业社开始组织人拉犁即平常说的～了!
太	高大	“好~!好～!”
口起	作梗	这么多天还不作交代总是有人~在!
太婆	老太婆
太阳坝	空地
太医	医生
贪	愿意	我约他去赶场他不～!
摊	躺	在卧室里坐定后他取出短烟杆抽燃一支叶子烟卷～在一把破藤椅上逐渐陷入沉思。
摊摊儿	小摊	水果~
坛坛	坛子
弹驳	指责	你们杜家的家教还有啥～的啊?
弹啵啰	游戏
弹烂药	说坏话	前些天他毕竟向鸭公弹过些烂药暗中使过几把歪劲。
痰病	神经病	遗书里所提到的～就是我们现在所谓的神经病。
痰吼吼	声音	老头把他攘了下～地叫道	“慢点!慢点!”
痰迷心窍	糊涂	一定要朝死路上走，不是痰迷了心窍吗？
坦	一望见底	这盘子太～了装不了汤。
坦坦碗	碗
炭花儿	煤
炭矢	煤渣
炭圆儿	火炭	几十个～堆得高高的烧成了鲜红的圆球。
炭圆儿	难事	这是个烧红了的～，不好捏。
谈	说亲	缺两颗牙齿值啥?我娃息都有了又不另~婆娘!
汤	遭遇	～着他这样的坏蛋不说你连我们旁的人都生气哪。
汤	超薄	这种布好～哟。
汤粑儿	片汤
汤锅	汤锅
汤=哈哈	超薄	这种布～的就跟麻郎子翅膀一样。
汤流水滴	沥	水豆粉要用得清一点要码得稀和但又不能～。
汤瓢	汤勺
汤水	麻烦	这真是个～事!
汤汤	汤水	炊事员手上的豆瓣～很快就把那张翠绿整洁的汇款单弄得花里胡哨的了。
汤汤水水	脏污	但他看见用过早餐的桌面还没有抹乾净，依旧～的，他更生气起来。汤汤水水	拖泥带水	这件事简直办得不伸抖～的!
汤碗	碗
汤元开水	好处	别尽想～吃囖!下回再考不起扣你奖金看你狂。
堂客	妻	“我坦克今天又来了封信。一席之隔那边田耕生在说。他把～叫做坦克。
堂客	妇女	别的不讲那位～以后的日子怎样过啊。年青青的拖起一群娃儿。
堂口	出口	他站在～迎客脸上带着讨好谄媚的笑点头哈腰十分殷勤。
堂子	大礼堂	我总觉得魏大爷、林木匠和那个不知名的金龙山人就坐在～的人丛之中。
堂子	社交场所	只有碰到极少数在旧～里混过的老材料釉子才吞吞吐吐不肯露底。
塘	淤积	水桶边~着脏水。
糖食	糕点
糖油果子	煎饼
躺席	席子
烫	欺骗	~两个金夫子就够你杂种吃一天了。
烫	棘手	现时而今～得很，八方又都是仇人，没事还能给你说一坨来摆起哩!
烫滚滚	滚烫	一阵河风送来牛油香花椒、海椒香想着那~的火锅她禁不住又难受起来。
烫毛子	欺骗	他说场合不硬铮耍了手脚烫了他的毛子。
烫人	棘手	马大棒的田土舞手段辣租子又极～。
烫手	棘手	你那价钱太～了!|过去动员干部到生产第一线历来难度大最～谁都不愿下去。
烫灶房	屠宰场
趟子	厘米	几个月没骑马了这一～好累!
叨	骂	若是这两县的交通修复了你们～我先人!
掏火棍	剔骨刀
桃花运	桃花运	山大王受伤后伐木场照顾他安排他在山坳上守木材。哪晓得他交了～在那里守山居然有一个女妖精迷上了他。
桃片	糕点
讨	摸索	两人乘飞机去杭州打算参观某塑料彩印包装厂先～工艺。
淘气	棘手	若果是兵变事情确有点～。
淘气	生气	早知不认爹娘当初我该一胯挟死免得今朝～。
讨	索取	白天就经常有那种不知趣的小伙子借~栀子花为名跑来搭野白。
讨	采集	到自留地去～几个茄子中午吃。|刚才她背起小弟娃在田坎上~猪草。
讨好卖乖	迎合	张妈莫在那里～挑弄是非。
讨见识	长进	我倒要抽空去讨点见识拜会一下啥鸡王!
讨口	乞讨	哪怕是～像雷锋小时那样!
讨口子	乞丐
讨赏卖乖	迎合	张妈莫在那里～挑弄是非。
套	拴	摆一座迷魂阵让他来拱～倒他好继续作浪兴风。
套套儿	套子
特儿	傻	你昨个这么~这道题都做不起?
特儿宝	傻瓜	他简直是个～啥都不懂。
吞口儿	护身符	透过帘子可以看见堂屋门楣上悬的一个避邪的大鬼面。那是普通舀水的木瓢画的五颜六色巨眼獠牙名叫~。
腾	很	高兴～了。
藤绷子床	床
藤藤	藤蔓
藤藤菜	空心菜
腾	震动	你这背时鬼～了我这一下!争一点儿把肠子都给我~断了!
塍塍	高地	那块土不平顺，中间有个～。
藤	观望	你～我我～你大家～倒起。
藤	厘米	三十九～台阶
藤藤	土坎	那块～只种得下几窝包谷。
藤头	平衡	挑子一头重一个轻咋个～嘛?
梯坎	天窗	止半城坡高路陡～极多是住宅区。
梯梯	天窗
提劲	逞英雄	没摸到手可以～真正钻进去碰个头破血流才晓得厉害。
提劲	拔尖	他那两刷子才～囖没得几个人赶得倒。
